Package                                                                        Current                               Wanted         Latest  Location                                                                                      Depended by
@octokit/types                                                                  6.41.0                               6.41.0         13.5.0  node_modules/@octokit/types                                                                   @octokit/plugin-paginate-rest
@octokit/types                                                                  6.41.0                               6.41.0         13.5.0  node_modules/@octokit/types                                                                   @octokit/plugin-rest-endpoint-methods
@octokit/types                                                                  6.41.0                               6.41.0         13.5.0  node_modules/@octokit/types                                                                   @octokit/request-error
@rspack/core                                                                   MISSING                                1.0.4          1.0.4  -                                                                                             html-webpack-plugin
@sigstore/bundle                                                                 1.1.0                                1.1.0          2.3.2  node_modules/@sigstore/bundle                                                                 sigstore
@sigstore/bundle                                                                 1.1.0                                1.1.0          2.3.2  node_modules/@sigstore/bundle                                                                 @sigstore/sign
@sigstore/bundle                                                                 1.1.0                                1.1.0          2.3.2  node_modules/npm/node_modules/@sigstore/bundle                                                sigstore
@sigstore/bundle                                                                 1.1.0                                1.1.0          2.3.2  node_modules/npm/node_modules/@sigstore/bundle                                                @sigstore/sign
@sigstore/protobuf-specs                                                         0.2.1                                0.2.1          0.3.2  node_modules/@sigstore/protobuf-specs                                                         sigstore
@sigstore/protobuf-specs                                                         0.2.1                                0.2.1          0.3.2  node_modules/@sigstore/protobuf-specs                                                         @sigstore/bundle
@sigstore/protobuf-specs                                                         0.2.1                                0.2.1          0.3.2  node_modules/@sigstore/protobuf-specs                                                         @sigstore/sign
@sigstore/protobuf-specs                                                         0.2.1                                0.2.1          0.3.2  node_modules/@sigstore/protobuf-specs                                                         @sigstore/tuf
@sigstore/protobuf-specs                                                         0.2.1                                0.2.1          0.3.2  node_modules/npm/node_modules/@sigstore/protobuf-specs                                        sigstore
@sigstore/protobuf-specs                                                         0.2.1                                0.2.1          0.3.2  node_modules/npm/node_modules/@sigstore/protobuf-specs                                        @sigstore/bundle
@sigstore/protobuf-specs                                                         0.2.1                                0.2.1          0.3.2  node_modules/npm/node_modules/@sigstore/protobuf-specs                                        @sigstore/sign
@sigstore/protobuf-specs                                                         0.2.1                                0.2.1          0.3.2  node_modules/npm/node_modules/@sigstore/protobuf-specs                                        @sigstore/tuf
@sigstore/sign                                                                   1.0.0                                1.0.0          2.3.2  node_modules/@sigstore/sign                                                                   sigstore
@sigstore/sign                                                                   1.0.0                                1.0.0          2.3.2  node_modules/npm/node_modules/@sigstore/sign                                                  sigstore
@sigstore/tuf                                                                    1.0.3                                1.0.3          2.3.4  node_modules/@sigstore/tuf                                                                    sigstore
@sigstore/tuf                                                                    1.0.3                                1.0.3          2.3.4  node_modules/npm/node_modules/@sigstore/tuf                                                   sigstore
@sinclair/typebox                                                               0.27.8                               0.27.8        0.33.10  node_modules/@sinclair/typebox                                                                @jest/schemas
@sinonjs/commons                                                                 3.0.1                                3.0.1  4.0.0-alpha.0  node_modules/@sinonjs/commons                                                                 @sinonjs/fake-timers
@sinonjs/fake-timers                                                            10.3.0                               10.3.0         13.0.1  node_modules/@sinonjs/fake-timers                                                             @jest/fake-timers
@testing-library/react                                                          15.0.7                               15.0.7         16.0.1  node_modules/@testing-library/react                                                           web
@tootallnate/once                                                                2.0.0                                2.0.0          3.0.0  node_modules/@tootallnate/once                                                                http-proxy-agent
@tootallnate/once                                                                1.1.2                                1.1.2          3.0.0  node_modules/make-fetch-happen/node_modules/@tootallnate/once                                 http-proxy-agent
@tootallnate/once                                                                2.0.0                                2.0.0          3.0.0  node_modules/npm/node_modules/@tootallnate/once                                               http-proxy-agent
@tufjs/canonical-json                                                            1.0.0                                1.0.0          2.0.0  node_modules/@tufjs/canonical-json                                                            @tufjs/models
@tufjs/canonical-json                                                            1.0.0                                1.0.0          2.0.0  node_modules/npm/node_modules/@tufjs/canonical-json                                           @tufjs/models
@tufjs/models                                                                    1.0.4                                1.0.4          2.0.1  node_modules/@tufjs/models                                                                    tuf-js
@tufjs/models                                                                    1.0.4                                1.0.4          2.0.1  node_modules/npm/node_modules/@tufjs/models                                                   tuf-js
